token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
1;0;chi;chi;PRON;nsubj;fatta;(ROOT (fint (PRON Chi) (f (ibar (PRON me) (PRON l') (AUX ha) (VERB fatta)) (compt (sp (ADP in) (sn (NOUN testa))))) (PUNCT !)));;6,108444494;function
2;0;me;me;PRON;iobj;fatta;(ROOT (fint (PRON Chi) (f (ibar (PRON me) (PRON l') (AUX ha) (VERB fatta)) (compt (sp (ADP in) (sn (NOUN testa))))) (PUNCT !)));;6,337855516;function
3;0;l;lo;PRON;obj;fatta;(ROOT (fint (PRON Chi) (f (ibar (PRON me) (PRON l') (AUX ha) (VERB fatta)) (compt (sp (ADP in) (sn (NOUN testa))))) (PUNCT !)));;6,640107629;function
4;0;ha;avere;AUX;aux;fatta;(ROOT (fint (PRON Chi) (f (ibar (PRON me) (PRON l') (AUX ha) (VERB fatta)) (compt (sp (ADP in) (sn (NOUN testa))))) (PUNCT !)));;6,684018637;function
5;0;fatta;fare;VERB;root;ROOT;(ROOT (fint (PRON Chi) (f (ibar (PRON me) (PRON l') (AUX ha) (VERB fatta)) (compt (sp (ADP in) (sn (NOUN testa))))) (PUNCT !)));4.40 ± 2.22;5,238100711;content
6;0;in;in;ADP;case;testa;(ROOT (fint (PRON Chi) (f (ibar (PRON me) (PRON l') (AUX ha) (VERB fatta)) (compt (sp (ADP in) (sn (NOUN testa))))) (PUNCT !)));;6,797274494;function
7;0;testa;testa;NOUN;obl;fatta;(ROOT (fint (PRON Chi) (f (ibar (PRON me) (PRON l') (AUX ha) (VERB fatta)) (compt (sp (ADP in) (sn (NOUN testa))))) (PUNCT !)));3.32 ± 1.44;5,506904066;content
8;1;una;uno;DET;det;sera;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));;6,801817508;function
9;1;sera;sera;NOUN;obl;successe;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));4.60 ± 2.22;5,361082228;content
10;1;quando;quando;SCONJ;mark;mise;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));;6,212844009;function
11;1;come;come;ADP;case;solito;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));;6,562704781;function
12;1;a;a;ADP;fixed;come;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));;7,004335738;function
13;1;il;il;DET;det;solito;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));;7,039560886;function
14;1;solito;solito;NOUN;obl;mise;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));;4,966096615;content
15;1;la;il;DET;det;Talpa;(ROOT (cp (sn (DET Una) (NOUN sera)) (fp (PUNCT ,) (fs (SCONJ quando) (cp (savv (ADP come) (ADP a) (DET il) (NOUN solito)) (PUNCT ,) (f (sn (DET la) (sa (ADJ piccola)) (PROPN Talpa)) (ibar (VERB mise)) (compt (sn (DET la) (NOUN testa)) (sp (ADV fuori) (ADP da) (sn (DET la) (NOUN tana))) (sp (ADP per) (sv2 (VERB controllare) (compt (fs (SCONJ se) (f (sn (DET il) (NOUN sole)) (ibar (PRON se) (PRON n') (AUX era) (VERB andato))))))))))) (PUNCT ,)) (fint (ADV ecco) (fint (PRON cosa) (f (ibar (VERB successe))))) (PUNCT :)));;7,055331658;function
