token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
1;0;la;il;DET;det;guerra;(ROOT (f3 (sn (DET La) (NOUN guerra) (spd (ADP di) (sn (DET le) (NOUN campane) (PUNCT .))))));;7,055331658;function
2;0;guerra;guerra;NOUN;root;ROOT;(ROOT (f3 (sn (DET La) (NOUN guerra) (spd (ADP di) (sn (DET le) (NOUN campane) (PUNCT .))))));6.64 ± 1.96;5,181173263;content
3;0;di;di;ADP;case;campane;(ROOT (f3 (sn (DET La) (NOUN guerra) (spd (ADP di) (sn (DET le) (NOUN campane) (PUNCT .))))));;7,232814475;function
4;0;le;il;DET;det;campane;(ROOT (f3 (sn (DET La) (NOUN guerra) (spd (ADP di) (sn (DET le) (NOUN campane) (PUNCT .))))));;6,624997683;function
5;0;campane;campana;NOUN;nmod;guerra;(ROOT (f3 (sn (DET La) (NOUN guerra) (spd (ADP di) (sn (DET le) (NOUN campane) (PUNCT .))))));5.04 ± 1.84;3,650315718;content
6;1;c;ci;PRON;expl;era;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;6,166704172;function
7;1;era;essere;VERB;root;ROOT;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;6,283626334;content
8;1;una;uno;DET;det;volta;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;6,801817508;function
9;1;volta;volta;NOUN;obl;era;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;5,820011577;content
10;1;una;uno;DET;det;guerra;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;6,801817508;function
11;1;guerra;guerra;NOUN;nsubj;era;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));6.64 ± 1.96;5,181173263;content
12;1;una;uno;DET;det;guerra;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;6,801817508;function
13;1;grande;grande;ADJ;amod;guerra;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));4.64 ± 2.04;5,615282093;content
14;1;e;e;CCONJ;cc;terribile;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;2,741151583;function
15;1;terribile;terribile;ADJ;conj;grande;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;4,837669943;content
16;1;guerra;guerra;NOUN;conj;guerra;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));6.64 ± 1.96;5,181173263;content
17;1;che;che;PRON;nsubj;faceva;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;7,250456545;function
18;1;faceva;fare;VERB;acl:relcl;guerra;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));4.40 ± 2.22;4,910958432;content
19;1;morire;morire;VERB;ccomp;faceva;(ROOT (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN volta)) (sn (DET una) (NOUN guerra)) (fp (PUNCT ,) (sn (DET una) (sa (coord (ADJ grande) (CCONJ e) (ADJ terribile))) (NOUN guerra)) (PUNCT ,)) (f2 (PRON che) (f (ibar (VERB faceva) (VERB morire)) (compt (sn (sq (DET molti)) (NOUN soldati)) (coord (spda (ADP da) (sn (DET una) (NOUN parte))) (CCONJ e) (spda (ADP da) (DET l') (sq (PRON altra)))))))) (PUNCT .)));;5,199416944;content
