token_id;sentence_ids;tokens_no_punct;lemma_no_punct;PoS;depparse;head;constituency;AoA(m+sd);Zipf_freq;type_of_words
1;0;i;il;DET;det;pirati;(ROOT (f3 (sn (DET I) (NOUN pirati) (sa (ADJ smemorati))) (PUNCT .)));;6,584780852;function
2;0;pirati;pirata;NOUN;root;ROOT;(ROOT (f3 (sn (DET I) (NOUN pirati) (sa (ADJ smemorati))) (PUNCT .)));;3,784209297;content
3;0;smemorati;smemorato;ADJ;amod;pirati;(ROOT (f3 (sn (DET I) (NOUN pirati) (sa (ADJ smemorati))) (PUNCT .)));;1,792983221;content
4;1;c;ci;PRON;expl;era;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN nave) (spd (ADP di) (sn (NOUN pirati))) (f2 (PRON che) (f (ibar (PRON si) (VERB chiamava)) (compc (sn (PROPN Tonno) (PROPN Feroce)))))))) (PUNCT ,) (CCONJ e) (f (ibar (VERB navigava)) (compt (sn (DET i) (NOUN mari)) (sv5 (VERB facendo) (compt (sn (NOUN abbordaggi)))))) (dirsp (PUNCT :) (f (ibar (VERB spara)) (compin (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB assalta)) (compin (spd (ADP di) (savv (ADV là))))) (PUNCT ,) (f (ibar (VERB ruba)) (compt (sp (ADP a) (sn (PRON me))) (PUNCT ,) (sn (NOUN rapina) (sp (ADP a) (sn (PRON te)))) (PUNCT ,) (sn (DET i) (NOUN pirati) (spd (ADP di) (sn (sa (DET quella)) (NOUN nave)))) (fp (PUNCT ,) (sp (ADP a) (sn (DET gli) (NOUN ordini) (spd (ADP di) (sn (NOUN capitan) (PROPN Gigi) (PROPN Trinciasquali))))) (PUNCT ,)))) (f (ibar (AUX avevano) (VERB accumulato)) (compt (sn (DET un) (sa (ADJ gran)) (NOUN tesoro) (spd (ADP di) (coord (sn (NOUN dobloni)) (PUNCT ,) (sn (NOUN zecchini)) (PUNCT ,) (sn (NOUN fiorini)) (PUNCT ,) (sn (NOUN talleri)) (PUNCT ,) (sn (NOUN corone)) (PUNCT ,) (CCONJ e) (sn (sa (ADJ altre)) (sa (ADJ preziosissime)) (NOUN monete) (PUNCT .))))))))));;6,166704172;function
5;1;era;essere;VERB;root;ROOT;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN nave) (spd (ADP di) (sn (NOUN pirati))) (f2 (PRON che) (f (ibar (PRON si) (VERB chiamava)) (compc (sn (PROPN Tonno) (PROPN Feroce)))))))) (PUNCT ,) (CCONJ e) (f (ibar (VERB navigava)) (compt (sn (DET i) (NOUN mari)) (sv5 (VERB facendo) (compt (sn (NOUN abbordaggi)))))) (dirsp (PUNCT :) (f (ibar (VERB spara)) (compin (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB assalta)) (compin (spd (ADP di) (savv (ADV là))))) (PUNCT ,) (f (ibar (VERB ruba)) (compt (sp (ADP a) (sn (PRON me))) (PUNCT ,) (sn (NOUN rapina) (sp (ADP a) (sn (PRON te)))) (PUNCT ,) (sn (DET i) (NOUN pirati) (spd (ADP di) (sn (sa (DET quella)) (NOUN nave)))) (fp (PUNCT ,) (sp (ADP a) (sn (DET gli) (NOUN ordini) (spd (ADP di) (sn (NOUN capitan) (PROPN Gigi) (PROPN Trinciasquali))))) (PUNCT ,)))) (f (ibar (AUX avevano) (VERB accumulato)) (compt (sn (DET un) (sa (ADJ gran)) (NOUN tesoro) (spd (ADP di) (coord (sn (NOUN dobloni)) (PUNCT ,) (sn (NOUN zecchini)) (PUNCT ,) (sn (NOUN fiorini)) (PUNCT ,) (sn (NOUN talleri)) (PUNCT ,) (sn (NOUN corone)) (PUNCT ,) (CCONJ e) (sn (sa (ADJ altre)) (sa (ADJ preziosissime)) (NOUN monete) (PUNCT .))))))))));;6,283626334;content
6;1;una;uno;DET;det;nave;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN nave) (spd (ADP di) (sn (NOUN pirati))) (f2 (PRON che) (f (ibar (PRON si) (VERB chiamava)) (compc (sn (PROPN Tonno) (PROPN Feroce)))))))) (PUNCT ,) (CCONJ e) (f (ibar (VERB navigava)) (compt (sn (DET i) (NOUN mari)) (sv5 (VERB facendo) (compt (sn (NOUN abbordaggi)))))) (dirsp (PUNCT :) (f (ibar (VERB spara)) (compin (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB assalta)) (compin (spd (ADP di) (savv (ADV là))))) (PUNCT ,) (f (ibar (VERB ruba)) (compt (sp (ADP a) (sn (PRON me))) (PUNCT ,) (sn (NOUN rapina) (sp (ADP a) (sn (PRON te)))) (PUNCT ,) (sn (DET i) (NOUN pirati) (spd (ADP di) (sn (sa (DET quella)) (NOUN nave)))) (fp (PUNCT ,) (sp (ADP a) (sn (DET gli) (NOUN ordini) (spd (ADP di) (sn (NOUN capitan) (PROPN Gigi) (PROPN Trinciasquali))))) (PUNCT ,)))) (f (ibar (AUX avevano) (VERB accumulato)) (compt (sn (DET un) (sa (ADJ gran)) (NOUN tesoro) (spd (ADP di) (coord (sn (NOUN dobloni)) (PUNCT ,) (sn (NOUN zecchini)) (PUNCT ,) (sn (NOUN fiorini)) (PUNCT ,) (sn (NOUN talleri)) (PUNCT ,) (sn (NOUN corone)) (PUNCT ,) (CCONJ e) (sn (sa (ADJ altre)) (sa (ADJ preziosissime)) (NOUN monete) (PUNCT .))))))))));;6,801817508;function
7;1;nave;nave;NOUN;nsubj;era;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN nave) (spd (ADP di) (sn (NOUN pirati))) (f2 (PRON che) (f (ibar (PRON si) (VERB chiamava)) (compc (sn (PROPN Tonno) (PROPN Feroce)))))))) (PUNCT ,) (CCONJ e) (f (ibar (VERB navigava)) (compt (sn (DET i) (NOUN mari)) (sv5 (VERB facendo) (compt (sn (NOUN abbordaggi)))))) (dirsp (PUNCT :) (f (ibar (VERB spara)) (compin (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB assalta)) (compin (spd (ADP di) (savv (ADV là))))) (PUNCT ,) (f (ibar (VERB ruba)) (compt (sp (ADP a) (sn (PRON me))) (PUNCT ,) (sn (NOUN rapina) (sp (ADP a) (sn (PRON te)))) (PUNCT ,) (sn (DET i) (NOUN pirati) (spd (ADP di) (sn (sa (DET quella)) (NOUN nave)))) (fp (PUNCT ,) (sp (ADP a) (sn (DET gli) (NOUN ordini) (spd (ADP di) (sn (NOUN capitan) (PROPN Gigi) (PROPN Trinciasquali))))) (PUNCT ,)))) (f (ibar (AUX avevano) (VERB accumulato)) (compt (sn (DET un) (sa (ADJ gran)) (NOUN tesoro) (spd (ADP di) (coord (sn (NOUN dobloni)) (PUNCT ,) (sn (NOUN zecchini)) (PUNCT ,) (sn (NOUN fiorini)) (PUNCT ,) (sn (NOUN talleri)) (PUNCT ,) (sn (NOUN corone)) (PUNCT ,) (CCONJ e) (sn (sa (ADJ altre)) (sa (ADJ preziosissime)) (NOUN monete) (PUNCT .))))))))));4.36 ± 1.87;4,988467744;content
8;1;di;di;ADP;case;pirati;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN nave) (spd (ADP di) (sn (NOUN pirati))) (f2 (PRON che) (f (ibar (PRON si) (VERB chiamava)) (compc (sn (PROPN Tonno) (PROPN Feroce)))))))) (PUNCT ,) (CCONJ e) (f (ibar (VERB navigava)) (compt (sn (DET i) (NOUN mari)) (sv5 (VERB facendo) (compt (sn (NOUN abbordaggi)))))) (dirsp (PUNCT :) (f (ibar (VERB spara)) (compin (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB assalta)) (compin (spd (ADP di) (savv (ADV là))))) (PUNCT ,) (f (ibar (VERB ruba)) (compt (sp (ADP a) (sn (PRON me))) (PUNCT ,) (sn (NOUN rapina) (sp (ADP a) (sn (PRON te)))) (PUNCT ,) (sn (DET i) (NOUN pirati) (spd (ADP di) (sn (sa (DET quella)) (NOUN nave)))) (fp (PUNCT ,) (sp (ADP a) (sn (DET gli) (NOUN ordini) (spd (ADP di) (sn (NOUN capitan) (PROPN Gigi) (PROPN Trinciasquali))))) (PUNCT ,)))) (f (ibar (AUX avevano) (VERB accumulato)) (compt (sn (DET un) (sa (ADJ gran)) (NOUN tesoro) (spd (ADP di) (coord (sn (NOUN dobloni)) (PUNCT ,) (sn (NOUN zecchini)) (PUNCT ,) (sn (NOUN fiorini)) (PUNCT ,) (sn (NOUN talleri)) (PUNCT ,) (sn (NOUN corone)) (PUNCT ,) (CCONJ e) (sn (sa (ADJ altre)) (sa (ADJ preziosissime)) (NOUN monete) (PUNCT .))))))))));;7,232814475;function
9;1;pirati;pirata;NOUN;nmod;nave;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN nave) (spd (ADP di) (sn (NOUN pirati))) (f2 (PRON che) (f (ibar (PRON si) (VERB chiamava)) (compc (sn (PROPN Tonno) (PROPN Feroce)))))))) (PUNCT ,) (CCONJ e) (f (ibar (VERB navigava)) (compt (sn (DET i) (NOUN mari)) (sv5 (VERB facendo) (compt (sn (NOUN abbordaggi)))))) (dirsp (PUNCT :) (f (ibar (VERB spara)) (compin (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB assalta)) (compin (spd (ADP di) (savv (ADV là))))) (PUNCT ,) (f (ibar (VERB ruba)) (compt (sp (ADP a) (sn (PRON me))) (PUNCT ,) (sn (NOUN rapina) (sp (ADP a) (sn (PRON te)))) (PUNCT ,) (sn (DET i) (NOUN pirati) (spd (ADP di) (sn (sa (DET quella)) (NOUN nave)))) (fp (PUNCT ,) (sp (ADP a) (sn (DET gli) (NOUN ordini) (spd (ADP di) (sn (NOUN capitan) (PROPN Gigi) (PROPN Trinciasquali))))) (PUNCT ,)))) (f (ibar (AUX avevano) (VERB accumulato)) (compt (sn (DET un) (sa (ADJ gran)) (NOUN tesoro) (spd (ADP di) (coord (sn (NOUN dobloni)) (PUNCT ,) (sn (NOUN zecchini)) (PUNCT ,) (sn (NOUN fiorini)) (PUNCT ,) (sn (NOUN talleri)) (PUNCT ,) (sn (NOUN corone)) (PUNCT ,) (CCONJ e) (sn (sa (ADJ altre)) (sa (ADJ preziosissime)) (NOUN monete) (PUNCT .))))))))));;3,784209297;content
10;1;che;che;PRON;nsubj;chiamava;(ROOT (fc (f (ibar (PRON C') (VERB era)) (compc (sn (DET una) (NOUN nave) (spd (ADP di) (sn (NOUN pirati))) (f2 (PRON che) (f (ibar (PRON si) (VERB chiamava)) (compc (sn (PROPN Tonno) (PROPN Feroce)))))))) (PUNCT ,) (CCONJ e) (f (ibar (VERB navigava)) (compt (sn (DET i) (NOUN mari)) (sv5 (VERB facendo) (compt (sn (NOUN abbordaggi)))))) (dirsp (PUNCT :) (f (ibar (VERB spara)) (compin (savv (ADV qua)))) (PUNCT ,) (f (ibar (VERB assalta)) (compin (spd (ADP di) (savv (ADV là))))) (PUNCT ,) (f (ibar (VERB ruba)) (compt (sp (ADP a) (sn (PRON me))) (PUNCT ,) (sn (NOUN rapina) (sp (ADP a) (sn (PRON te)))) (PUNCT ,) (sn (DET i) (NOUN pirati) (spd (ADP di) (sn (sa (DET quella)) (NOUN nave)))) (fp (PUNCT ,) (sp (ADP a) (sn (DET gli) (NOUN ordini) (spd (ADP di) (sn (NOUN capitan) (PROPN Gigi) (PROPN Trinciasquali))))) (PUNCT ,)))) (f (ibar (AUX avevano) (VERB accumulato)) (compt (sn (DET un) (sa (ADJ gran)) (NOUN tesoro) (spd (ADP di) (coord (sn (NOUN dobloni)) (PUNCT ,) (sn (NOUN zecchini)) (PUNCT ,) (sn (NOUN fiorini)) (PUNCT ,) (sn (NOUN talleri)) (PUNCT ,) (sn (NOUN corone)) (PUNCT ,) (CCONJ e) (sn (sa (ADJ altre)) (sa (ADJ preziosissime)) (NOUN monete) (PUNCT .))))))))));;7,250456545;function
